sample_index,sampled_at,elapsed_seconds,sample_elapsed_ms,listener_pid,process_name,process_started_at,process_command_line,working_set_bytes,private_bytes,handle_count,thread_count,process_error,national_requested,national_observed_at,national_status,national_latency_ms,national_etag,national_conditional_request,national_conditional_status,national_conditional_304,national_conditional_refresh_200,national_schema_version,national_event_count,national_warning_count,national_storm_count,national_source_health_count,national_radar_frame_count,national_satellite_frame_count,national_product_count,national_city_rank_count,national_error,radar_requested,radar_observed_at,radar_status,radar_latency_ms,radar_etag,radar_conditional_request,radar_conditional_status,radar_conditional_304,radar_conditional_refresh_200,radar_active_storm_id,radar_storm_count,radar_boss_count,radar_warning_count,radar_wind_vector_count,radar_error,request_in_flight_peak,schedule_overrun_ms
0,2026-07-15T07:39:56.732Z,0,1132,38804,node,2026-07-15T07:35:23.1982211Z,"""node""   ""D:\typhoon boss radar\node_modules\.bin\\..\next\dist\bin\next"" start -H 127.0.0.1 -p 3038",185815040,193646592,352,45,,true,2026-07-15T07:39:57.802Z,200,52,"""07b1a654143e7c267efedf0be4d35180ecb96e74f9dce66f5922d39d54ed2fdb""",false,304,true,false,1,1304,1303,0,6,12,12,26,,,true,2026-07-15T07:39:57.860Z,200,4,"""67ca5d439274d179fed5f5bb80164d2a50ebffdd""",false,200,false,true,,0,0,0,,,1,0
1,2026-07-15T07:40:06.745Z,10,1025,38804,node,2026-07-15T07:35:23.1982211Z,"""node""   ""D:\typhoon boss radar\node_modules\.bin\\..\next\dist\bin\next"" start -H 127.0.0.1 -p 3038",185999360,203403264,352,45,,false,2026-07-15T07:39:57.802Z,200,52,"""07b1a654143e7c267efedf0be4d35180ecb96e74f9dce66f5922d39d54ed2fdb""",false,304,true,false,1,1304,1303,0,6,12,12,26,,,true,2026-07-15T07:40:07.767Z,304,3,"""67ca5d439274d179fed5f5bb80164d2a50ebffdd""",true,304,true,false,,0,0,0,,,1,0
2,2026-07-15T07:40:16.735Z,20,1010,38804,node,2026-07-15T07:35:23.1982211Z,"""node""   ""D:\typhoon boss radar\node_modules\.bin\\..\next\dist\bin\next"" start -H 127.0.0.1 -p 3038",186277888,203792384,353,45,,false,2026-07-15T07:39:57.802Z,200,52,"""07b1a654143e7c267efedf0be4d35180ecb96e74f9dce66f5922d39d54ed2fdb""",false,304,true,false,1,1304,1303,0,6,12,12,26,,,true,2026-07-15T07:40:17.743Z,304,2,"""67ca5d439274d179fed5f5bb80164d2a50ebffdd""",true,304,true,false,,0,0,0,,,1,0
3,2026-07-15T07:40:26.730Z,30,1033,38804,node,2026-07-15T07:35:23.1982211Z,"""node""   ""D:\typhoon boss radar\node_modules\.bin\\..\next\dist\bin\next"" start -H 127.0.0.1 -p 3038",186433536,203866112,352,47,,false,2026-07-15T07:39:57.802Z,200,52,"""07b1a654143e7c267efedf0be4d35180ecb96e74f9dce66f5922d39d54ed2fdb""",false,304,true,false,1,1304,1303,0,6,12,12,26,,,true,2026-07-15T07:40:27.761Z,304,2,"""67ca5d439274d179fed5f5bb80164d2a50ebffdd""",true,304,true,false,,0,0,0,,,1,0
4,2026-07-15T07:40:36.738Z,40,1077,38804,node,2026-07-15T07:35:23.1982211Z,"""node""   ""D:\typhoon boss radar\node_modules\.bin\\..\next\dist\bin\next"" start -H 127.0.0.1 -p 3038",193155072,203853824,352,47,,false,2026-07-15T07:39:57.802Z,200,52,"""07b1a654143e7c267efedf0be4d35180ecb96e74f9dce66f5922d39d54ed2fdb""",false,304,true,false,1,1304,1303,0,6,12,12,26,,,true,2026-07-15T07:40:37.812Z,304,2,"""67ca5d439274d179fed5f5bb80164d2a50ebffdd""",true,304,true,false,,0,0,0,,,1,0
5,2026-07-15T07:40:46.743Z,50,1029,38804,node,2026-07-15T07:35:23.1982211Z,"""node""   ""D:\typhoon boss radar\node_modules\.bin\\..\next\dist\bin\next"" start -H 127.0.0.1 -p 3038",193155072,203853824,352,47,,false,2026-07-15T07:39:57.802Z,200,52,"""07b1a654143e7c267efedf0be4d35180ecb96e74f9dce66f5922d39d54ed2fdb""",false,304,true,false,1,1304,1303,0,6,12,12,26,,,true,2026-07-15T07:40:47.769Z,304,2,"""67ca5d439274d179fed5f5bb80164d2a50ebffdd""",true,304,true,false,,0,0,0,,,1,0
6,2026-07-15T07:40:56.735Z,60,1039,38804,node,2026-07-15T07:35:23.1982211Z,"""node""   ""D:\typhoon boss radar\node_modules\.bin\\..\next\dist\bin\next"" start -H 127.0.0.1 -p 3038",193155072,203853824,352,47,,false,2026-07-15T07:39:57.802Z,200,52,"""07b1a654143e7c267efedf0be4d35180ecb96e74f9dce66f5922d39d54ed2fdb""",false,304,true,false,1,1304,1303,0,6,12,12,26,,,true,2026-07-15T07:40:57.772Z,304,2,"""67ca5d439274d179fed5f5bb80164d2a50ebffdd""",true,304,true,false,,0,0,0,,,1,0
7,2026-07-15T07:41:06.732Z,70,1037,38804,node,2026-07-15T07:35:23.1982211Z,"""node""   ""D:\typhoon boss radar\node_modules\.bin\\..\next\dist\bin\next"" start -H 127.0.0.1 -p 3038",193155072,203853824,352,47,,false,2026-07-15T07:39:57.802Z,200,52,"""07b1a654143e7c267efedf0be4d35180ecb96e74f9dce66f5922d39d54ed2fdb""",false,304,true,false,1,1304,1303,0,6,12,12,26,,,true,2026-07-15T07:41:07.767Z,304,2,"""67ca5d439274d179fed5f5bb80164d2a50ebffdd""",true,304,true,false,,0,0,0,,,1,0
8,2026-07-15T07:41:16.735Z,80,1094,38804,node,2026-07-15T07:35:23.1982211Z,"""node""   ""D:\typhoon boss radar\node_modules\.bin\\..\next\dist\bin\next"" start -H 127.0.0.1 -p 3038",193155072,203853824,353,47,,false,2026-07-15T07:39:57.802Z,200,52,"""07b1a654143e7c267efedf0be4d35180ecb96e74f9dce66f5922d39d54ed2fdb""",false,304,true,false,1,1304,1303,0,6,12,12,26,,,true,2026-07-15T07:41:17.827Z,304,2,"""67ca5d439274d179fed5f5bb80164d2a50ebffdd""",true,304,true,false,,0,0,0,,,1,0
9,2026-07-15T07:41:26.742Z,90,1036,38804,node,2026-07-15T07:35:23.1982211Z,"""node""   ""D:\typhoon boss radar\node_modules\.bin\\..\next\dist\bin\next"" start -H 127.0.0.1 -p 3038",193155072,203853824,352,47,,false,2026-07-15T07:39:57.802Z,200,52,"""07b1a654143e7c267efedf0be4d35180ecb96e74f9dce66f5922d39d54ed2fdb""",false,304,true,false,1,1304,1303,0,6,12,12,26,,,true,2026-07-15T07:41:27.776Z,304,2,"""67ca5d439274d179fed5f5bb80164d2a50ebffdd""",true,304,true,false,,0,0,0,,,1,0
